layer1,layer2,actFunc,learning,mse,mae
130,10,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,0.6965583562850952,0.6348491907119751
150,90,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,0.7360847592353821,0.6543368101119995
130,50,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,0.7368563413619995,0.6390407681465149
90,90,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,0.7779027819633484,0.6850811243057251
130,70,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,0.7882998585700989,0.6693304777145386
110,30,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,0.7947790622711182,0.6667402386665344
90,70,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,0.7954339385032654,0.7034617066383362
150,30,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,0.8012296557426453,0.683979868888855
70,10,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,0.8182318210601807,0.6845672130584717
130,110,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,0.8193341493606567,0.7072679996490479
110,10,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,0.8215484619140625,0.6859200596809387
110,90,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,0.8253032565116882,0.6928432583808899
150,10,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,0.8285555243492126,0.6908951997756958
70,30,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,0.8352991938591003,0.7156415581703186
90,110,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,0.8450614809989929,0.7018272280693054
70,50,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,0.8580929040908813,0.7230675220489502
90,10,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,0.8673478364944458,0.7281017303466797
110,70,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,0.8771365880966187,0.7108529806137085
70,90,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,0.8782302737236023,0.7276037335395813
90,50,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,0.8895242214202881,0.7081535458564758
90,30,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,0.89952152967453,0.7257136106491089
150,110,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,0.931476593017578,0.7215608954429626
150,70,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,0.9357855319976808,0.7152154445648193
130,90,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,0.9925539493560792,0.7642025351524353
110,50,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,0.9978228211402892,0.78815096616745
70,70,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,1.0217922925949097,0.7912153601646423
110,110,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,1.1106359958648682,0.8044170141220093
70,110,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,1.113471746444702,0.8457978963851929
150,50,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,1.164979338645935,0.8053725957870483
130,30,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,1.2059396505355835,0.8887108564376831
